Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.
name walk
datarows 101 
datacolumns 25 
range 0  2.0
endheader
time Pelvis_PX Pelvis_PY Pelvis_PZ Pelvis_X Pelvis_Y Pelvis_Z FemurR_X FemurR_Y FemurR_Z FemurL_X FemurL_Y FemurL_Z TibiaR_X TibiaR_Y TibiaR_Z TibiaL_X TibiaL_Y TibiaL_Z TalusR_X TalusR_Y TalusR_Z TalusL_X TalusL_Y TalusL_Z
29.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 1.47973 -10.57700 14.50560 0.15124 -1.03562 30.12560 -0.10305 -4.61061 6.77763 7.09141 -19.75870 53.49190 -4.50350 4.65742 6.21275 -2.51447 7.71518 2.34961
30.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 1.29213 -10.91790 13.77710 0.50448 -0.56878 31.11140 -0.12115 -4.21209 6.46419 7.53592 -20.39220 51.34710 -4.32156 4.81626 6.55848 -2.42881 7.16224 3.13504
31.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 1.12213 -11.15830 13.13020 0.81564 -0.07593 32.01380 -0.11783 -3.84651 6.19412 7.93128 -21.09180 48.82970 -4.16205 4.89746 6.89329 -2.36415 6.68969 3.75503
32.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.99633 -11.34830 12.54780 1.06988 0.43256 32.80970 -0.10374 -3.47290 5.97509 8.24642 -21.80550 45.96020 -4.02667 4.91073 7.21388 -2.32707 6.28252 4.17715
33.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.93068 -11.53960 12.00830 1.25183 0.90486 33.48770 -0.08880 -3.07876 5.80534 8.43513 -22.39400 42.78530 -3.89373 4.88715 7.52596 -2.34204 5.90181 4.40660
34.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.92849 -11.74330 11.48800 1.35886 1.25846 34.05000 -0.07399 -2.68097 5.67018 8.44551 -22.74020 39.36400 -3.74398 4.85373 7.83135 -2.37119 5.55367 4.46855
35.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.98035 -11.94500 10.96370 1.40540 1.46906 34.49070 -0.05452 -2.30451 5.54832 8.25852 -22.86960 35.73250 -3.57421 4.82135 8.12648 -2.35751 5.32057 4.36447
36.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.07192 -12.14500 10.41610 1.41899 1.54770 34.80120 -0.03092 -1.96461 5.42164 7.87329 -22.88340 31.91450 -3.38053 4.79877 8.40851 -2.27812 5.29008 4.10351
37.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.19005 -12.34700 9.83125 1.43342 1.47327 34.99080 -0.00530 -1.67009 5.27736 7.29076 -22.84250 27.94890 -3.16316 4.79446 8.67510 -2.14647 5.48241 3.74945
38.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 1.32213 -12.55390 9.20949 1.47815 1.24312 35.08000 0.02343 -1.40677 5.11397 6.54770 -22.75540 23.88030 -2.92549 4.79770 8.92457 -2.01798 5.81242 3.39655
